Distance,NOS
3.000000118999999743e-01,6.010000000000000000e+02
2.411971547999999999e+01,2.180000000000000000e+02
2.573569777999999886e+01,1.120000000000000000e+02
2.658213402000000158e+01,3.080000000000000000e+02
3.854665572999999767e+01,3.170000000000000000e+02
3.000000118999999743e-01,2.781000000000000000e+03
3.018183475000000016e+01,9.040000000000000000e+02
3.000000118999999743e-01,1.547000000000000000e+03
2.690647212000000010e+01,6.160000000000000000e+02
3.380725261999999987e+01,6.730000000000000000e+02
3.606007985000000104e+01,5.340000000000000000e+02
3.675083837999999758e+01,3.420000000000000000e+02
3.000000118999999743e-01,1.562000000000000000e+03
3.000000118999999743e-01,1.591000000000000000e+03
2.823207462999999962e+01,4.580000000000000000e+02
3.244124155000000087e+01,6.760000000000000000e+02
3.534124151000000325e+01,7.510000000000000000e+02
3.801846181999999885e+01,4.270000000000000000e+02
3.973081644999999895e+01,3.370000000000000000e+02
2.555386267000000089e+01,2.450000000000000000e+02
2.635598179000000130e+01,3.750000000000000000e+02
2.984573397000000128e+01,5.660000000000000000e+02
3.280246706999999873e+01,6.410000000000000000e+02
3.561382437999999695e+01,7.000000000000000000e+02
2.717072900000000146e+01,1.880000000000000000e+02
2.758276575000000008e+01,3.660000000000000000e+02
3.077563015000000135e+01,6.490000000000000000e+02
3.336370959999999997e+01,5.930000000000000000e+02
2.678370113000000075e+01,3.440000000000000000e+02
2.967616607000000073e+01,5.670000000000000000e+02
2.981360426000000174e+01,4.330000000000000000e+02
2.725152534000000060e+01,5.820000000000000000e+02
2.349832417000000007e+01,8.390000000000000000e+02
2.398749674000000098e+01,5.040000000000000000e+02
2.483547546999999867e+01,1.860000000000000000e+02
2.798894887999999881e+01,1.450000000000000000e+02
3.172470356999999908e+01,2.630000000000000000e+02
1.532816047000000026e+01,7.030000000000000000e+02
3.000000118999999743e-01,1.161000000000000000e+03
3.000000118999999743e-01,4.040000000000000000e+02
1.653899370999999974e+01,2.000000000000000000e+02
2.539906931999999884e+01,1.100000000000000000e+02
3.232937725000000029e+01,5.100000000000000000e+01
3.148401110000000003e+01,9.400000000000000000e+01
3.807894783999999788e+01,5.700000000000000000e+01
2.995330802000000148e+01,4.500000000000000000e+01
2.415928294000000065e+01,1.130000000000000000e+02
3.089017134999999925e+01,5.510000000000000000e+02
3.717474014999999810e+01,9.160000000000000000e+02
3.816779199999999861e+01,7.960000000000000000e+02
2.747951838999999907e+01,2.590000000000000000e+02
2.518850426999999925e+01,6.010000000000000000e+02
2.480319164999999870e+01,9.980000000000000000e+02
2.020799540999999877e+01,2.500000000000000000e+01
4.395997034999999897e+01,1.500000000000000000e+01
2.660880201999999883e+01,2.270000000000000000e+02
2.399272311000000002e+01,4.540000000000000000e+02
2.202554956000000175e+01,3.130000000000000000e+02
1.706107068000000027e+01,5.240000000000000000e+02
1.855855503000000084e+01,9.410000000000000000e+02
2.205530110999999849e+01,4.520000000000000000e+02
2.293583865000000088e+01,3.710000000000000000e+02
1.906409350999999930e+01,1.117000000000000000e+03
2.287227010000000149e+01,4.690000000000000000e+02
2.129515381999999946e+01,1.240000000000000000e+02
3.055497055000000017e+01,2.000000000000000000e+01
3.063902458000000095e+01,1.460000000000000000e+02
2.897780862999999840e+01,1.940000000000000000e+02
1.925538204000000064e+01,6.500000000000000000e+01
1.796480271000000073e+01,1.790000000000000000e+02
1.878587368999999896e+01,6.230000000000000000e+02
2.348397367000000102e+01,8.430000000000000000e+02
2.773484964000000019e+01,6.540000000000000000e+02
2.378488498000000106e+01,1.046000000000000000e+03
1.634028480999999999e+01,1.854000000000000000e+03
1.412384654999999967e+01,1.673000000000000000e+03
1.546262199999999964e+01,4.040000000000000000e+02
2.284735680000000002e+01,1.520000000000000000e+02
2.312796838999999949e+01,1.930000000000000000e+02
3.143757615999999899e+01,1.730000000000000000e+02
2.565871861000000109e+01,2.230000000000000000e+02
1.507367883999999947e+01,5.700000000000000000e+01
2.262252136000000036e+01,7.100000000000000000e+01
1.803812209999999894e+01,2.990000000000000000e+02
2.466312273000000133e+01,6.320000000000000000e+02
2.265750592999999924e+01,8.190000000000000000e+02
2.464964465999999987e+01,4.350000000000000000e+02
3.000000118999999743e-01,1.047000000000000000e+03
3.000000118999999743e-01,1.845000000000000000e+03
3.000000118999999743e-01,2.168000000000000000e+03
3.000000118999999743e-01,2.562000000000000000e+03
3.000000118999999743e-01,1.897000000000000000e+03
3.000000118999999743e-01,1.049000000000000000e+03
